         24986 function calls (24084 primitive calls) in 0.043 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    41/38    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f616ffc2f80}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1327(exec_module)
     1844    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       17    0.000    0.000    0.000    0.000 shutil.py:1439(get_terminal_size)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        7    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
        5    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:2016(consume_optional)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 argparse.py:2120(consume_positionals)
       77    0.000    0.000    0.000    0.000 <frozen genericpath>:60(islink)
      504    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
        1    0.000    0.000    0.000    0.000 argparse.py:2285(_match_argument)
        1    0.000    0.000    0.000    0.000 enum.py:498(__new__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      689    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.000    0.000 argparse.py:2307(_match_arguments_partial)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      327    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
       77    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
